date,review,,,,,,,
2018/9/8," Depending on the time of the day, there would be a line of hungry tourists. We were lucky we only waited 10mins. You are given a pad and a pen to put your order while waiting.Order all the xiao long bao flavors ",)The rice is good for 2 people.Free tea! So it's ok to just ask for service water.Do Facebook live while eating here.The open kitchen area allows you to watch how the dumplings are made. Great show for Facebook live right? Hehehe\,,,,,,
2018/9/5, I was taken here for a casual business dinner. Just watching the dim sum being handmade in the window of the restaurant is worth the visit. The restaurant is casual. Food here should definitely be shared. Our waitress was very helpful with recommendations. It was fun to visit. Beer is definitely the alcoholic drink of choice her. \,,,,,,,
2018/9/2," We had to wait for about 20 minutes to get allocated a table and it was worth it! We ordered a spicy cucumber salad, a soup, noodles and various vegetarian dumplings. Everything tasted freshly prepared and you even could watch them in the show-kitchen whilst producing dumplings. We enjoyed the food pretty much! The service was very fast, friendly and courteous! Water was served constantly and complimentary! In my mind the food was not pricey at all as we paid together about 25\uc0\u8364  only and both of us had enough. I hopefully will return in the furture!\",,,,,,,
2018/9/1," We had been to same restaurant in LA. Great food, service. Soup Dumplings, etc were fabulous. Pleasant atmosphere. We did not have to wait very long as we expected. We just walked around a minute. Not much seating to wait. \",,,,,,,
2018/8/30, Not sure what all the fuss is about this place. You can get comparable stuff anywhere in Taiwan for a lot less.I mean foods not bad just pricey. But I say the street food taste the same and costs less.\,,,,,,,
2018/8/28," Apart from the waiting time to actually get the table, the service was quick and the food tasted great. Just plan an hour or so for waiting, you can take a number and walk around. \",,,,,,,
2018/8/28," I eate several flavors of the dimsum -cha long bao. They are very tasty, cooked to perfection that when you bite it some juice from the filling comes out. The beef brisket noodle is just as equally satisfying with a very soft, tender beef that I can describe as a \'a1\'a7melt in yoir mouth\'a1\'a8 with the very soft , firm flavourful noodle. And it is not only the food that I enjoyed but the friendliness of the staff and the promptness of service even made my dining experience superb\",,,,,,,
2018/8/27," I\'a1\'a6ve been to Din tai fung in Hong kong, and Malaysia and every time it is delicious, i cant wait to come back just to go there again, really a must try, for those who dont know just order some pork Xiao Long Bao mix the 2 sauces on the table ( soy and vinagar), put some sauce in you spoon, put the small Xiao Long Bao in your spoon, make a whole mix the sauces and eat. The best! \",,,,,,,
2018/8/25," Din Tai Fung is delicious, consistent and reliable. This branch in the ultramodern Taipei 101 is no exception. Waiting time isn't too bad despite of the long waiting line. Service is unbeatable. Food is top-notch as usual. Price is very reasonable.\",,,,,,,
2018/8/25," I really enjoyed trying different types of dim sum and buns. Make sure you don\'a1\'a6t go during the peak hours because the cue can be exhausting. If you are a truffle lover don\'a1\'a6t even try their truffle dim sum, not worth it at all\",,,,,,,
2018/9/8," Depending on the time of the day, there would be a line of hungry tourists. We were lucky we only waited 10mins. You are given a pad and a pen to put your order while waiting.Order all the xiao long bao flavors ",)The rice is good for 2 people.Free tea! So it's ok to just ask for service water.Do Facebook live while eating here.The open kitchen area allows you to watch how the dumplings are made. Great show for Facebook live right? Hehehe\,,,,,,
2018/9/5, I was taken here for a casual business dinner. Just watching the dim sum being handmade in the window of the restaurant is worth the visit. The restaurant is casual. Food here should definitely be shared. Our waitress was very helpful with recommendations. It was fun to visit. Beer is definitely the alcoholic drink of choice her. \,,,,,,,
2018/9/2," We had to wait for about 20 minutes to get allocated a table and it was worth it! We ordered a spicy cucumber salad, a soup, noodles and various vegetarian dumplings. Everything tasted freshly prepared and you even could watch them in the show-kitchen whilst producing dumplings. We enjoyed the food pretty much! The service was very fast, friendly and courteous! Water was served constantly and complimentary! In my mind the food was not pricey at all as we paid together about 25\uc0\u8364  only and both of us had enough. I hopefully will return in the furture!\",,,,,,,
2018/9/1," We had been to same restaurant in LA. Great food, service. Soup Dumplings, etc were fabulous. Pleasant atmosphere. We did not have to wait very long as we expected. We just walked around a minute. Not much seating to wait. \",,,,,,,
2018/8/30, Not sure what all the fuss is about this place. You can get comparable stuff anywhere in Taiwan for a lot less.I mean foods not bad just pricey. But I say the street food taste the same and costs less.\,,,,,,,
2018/8/28," Apart from the waiting time to actually get the table, the service was quick and the food tasted great. Just plan an hour or so for waiting, you can take a number and walk around. \",,,,,,,
2018/8/28," I eate several flavors of the dimsum -cha long bao. They are very tasty, cooked to perfection that when you bite it some juice from the filling comes out. The beef brisket noodle is just as equally satisfying with a very soft, tender beef that I can describe as a \'a1\'a7melt in yoir mouth\'a1\'a8 with the very soft , firm flavourful noodle. And it is not only the food that I enjoyed but the friendliness of the staff and the promptness of service even made my dining experience superb\",,,,,,,
2018/8/27," I\'a1\'a6ve been to Din tai fung in Hong kong, and Malaysia and every time it is delicious, i cant wait to come back just to go there again, really a must try, for those who dont know just order some pork Xiao Long Bao mix the 2 sauces on the table ( soy and vinagar), put some sauce in you spoon, put the small Xiao Long Bao in your spoon, make a whole mix the sauces and eat. The best! \",,,,,,,
2018/8/25," Din Tai Fung is delicious, consistent and reliable. This branch in the ultramodern Taipei 101 is no exception. Waiting time isn't too bad despite of the long waiting line. Service is unbeatable. Food is top-notch as usual. Price is very reasonable.\",,,,,,,
2018/8/25," I really enjoyed trying different types of dim sum and buns. Make sure you don\'a1\'a6t go during the peak hours because the cue can be exhausting. If you are a truffle lover don\'a1\'a6t even try their truffle dim sum, not worth it at all\",,,,,,,
2018/8/20," It was so so crowed when we came for lunch during this June, however they managed it so well that you won't feel waiting was long. The xiao long bao were amazing and other side dishes and their soups also tasted good. I will always at least come here for lunch one every time i visit Taipei. Among other branches of Ding Tai Fong in Taiwan, this is the best. You can come visit the tallest building in Taiwan and do some shopping while waiting for food, why not!!!\",,,,,,,
2018/8/20, A real treat and id say a must do when in taiwan. If you're new to asian cuisine I recommend trying the spicy noodles and xiaolong bao with some delicious egg fried rice.\,,,,,,,
2018/8/19, The best xiao long pau around (translated to little dragon cakes) filled with choice pork and spices served with ginger and vinegar. Also good is the fried rice with deep fried pork cutlet \,,,,,,,
2018/8/18, the queue is long but they have the ticket and estimated time so yeah we can shop around while waiting. \,,,,,,,
